"orden_data01";"orden_oxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
144;144;80;"Mercurio";"Hg";1;"I";"Hg2O1";"Hg_{2}O";"Óxido Mercuroso";"Óxido de Mercurio (I)";"MonÓxido de DiMercurio";"2Hg + O_{2} \rightarrow Hg_{2}O";"80 - Hg - Mercurio"
145;145;80;"Mercurio";"Hg";2;"II";"Hg1O1";"HgO";"Óxido Mercúrico";"Óxido de Mercurio (II)";"MonÓxido de MonoMercurio";"2Hg + O_{2} \rightarrow 2HgO";"80 - Hg - Mercurio"
146;146;81;"Talio";"Tl";1;"I";"Tl2O1";"Tl_{2}O";"Óxido Taloso";"Óxido de Talio (I)";"MonÓxido de DiTalio";"2Tl + O_{2} \rightarrow Tl_{2}O";"81 - Tl - Talio"
147;147;81;"Talio";"Tl";3;"III";"Tl2O3";"Tl_{2}O_{3}";"Óxido Tálico";"Óxido de Talio (III)";"TriÓxido de DiTalio";"2Tl + O_{2} \rightarrow Tl_{2}O_{3}";"81 - Tl - Talio"
148;148;82;"Plomo";"Pb";2;"II";"Pb1O1";"PbO";"Óxido Plumboso";"Óxido de Plomo (II)";"MonÓxido de MonoPlomo";"2Pb + O_{2} \rightarrow 2PbO";"82 - Pb - Plomo"
149;149;82;"Plomo";"Pb";4;"IV";"Pb1O2";"PbO_{2}";"Óxido Plúmbico";"Óxido de Plomo (IV)";"DiÓxido de MonoPlomo";"2Pb + O_{2} \rightarrow 2PbO_{2}";"82 - Pb - Plomo"
150;150;83;"Bismuto";"Bi";3;"III";"Bi2O3";"Bi_{2}O_{3}";"Óxido Bismutoso";"Óxido de Bismuto (III)";"TriÓxido de DiBismuto";"2Bi + O_{2} \rightarrow Bi_{2}O_{3}";"83 - Bi - Bismuto"
151;151;83;"Bismuto";"Bi";5;"V";"Bi2O5";"Bi_{2}O_{5}";"Óxido Bismútico";"Óxido de Bismuto (V)";"PentaÓxido de DiBismuto";"2Bi + O_{2} \rightarrow Bi_{2}O_{5}";"83 - Bi - Bismuto"
152;152;84;"Polonio";"Po";2;"II";"Po1O1";"PoO";"Óxido Polonioso";"Óxido de Polonio (II)";"MonÓxido de MonoPolonio";"2Po + O_{2} \rightarrow 2PoO";"84 - Po - Polonio"
153;153;84;"Polonio";"Po";4;"IV";"Po1O2";"PoO_{2}";"Óxido Polónico";"Óxido de Polonio (IV)";"DiÓxido de MonoPolonio";"2Po + O_{2} \rightarrow 2PoO_{2}";"84 - Po - Polonio"
154;154;85;"Astato";"At";1;"I";"At2O1";"At_{2}O";"Óxido HipoAstatoso";"Óxido de Astato (I)";"MonÓxido de DiAstato";"2At + O_{2} \rightarrow At_{2}O";"85 - At - Astato"
155;155;85;"Astato";"At";3;"III";"At2O3";"At_{2}O_{3}";"Óxido Astatoso";"Óxido de Astato (III)";"TriÓxido de DiAstato";"2At + O_{2} \rightarrow At_{2}O_{3}";"85 - At - Astato"
156;156;85;"Astato";"At";5;"V";"At2O5";"At_{2}O_{5}";"Óxido Astático";"Óxido de Astato (V)";"PentaÓxido de DiAstato";"2At + O_{2} \rightarrow At_{2}O_{5}";"85 - At - Astato"
157;157;85;"Astato";"At";7;"VII";"At2O7";"At_{2}O_{7}";"Óxido PerAstático";"Óxido de Astato (VII)";"HeptaÓxido de DiAstato";"2At + O_{2} \rightarrow At_{2}O_{7}";"85 - At - Astato"
158;158;87;"Francio";"Fr";1;"I";"Fr2O1";"Fr_{2}O";"Óxido de Francio";"Óxido de Francio (I)";"MonÓxido de DiFrancio";"2Fr + O_{2} \rightarrow Fr_{2}O";"87 - Fr - Francio"
159;159;88;"Radio";"Ra";2;"II";"Ra1O1";"RaO";"Óxido de Radio";"Óxido de Radio (II)";"MonÓxido de MonoRadio";"2Ra + O_{2} \rightarrow 2RaO";"88 - Ra - Radio"
160;160;89;"Actinio";"Ac";3;"III";"Ac2O3";"Ac_{2}O_{3}";"Óxido de Actinio";"Óxido de Actinio (III)";"TriÓxido de DiActinio";"2Ac + O_{2} \rightarrow Ac_{2}O_{3}";"89 - Ac - Actinio"
