"orden_data01";"orden_hidroxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
172;140;94;"Plutonio";"Pu";3;"III";"Pu1(OH)3";"Pu(OH)_{3}";"Hidróxido HipoPlutonioso";"Hidŕoxido de Plutonio (III)";"TriHidróxido de MonoPlutonio";"Pu_{2}O_{3} + 3H_{2}O \rightarrow 2Pu(OH)_{3}";"94 - Pu - Plutonio"
173;141;94;"Plutonio";"Pu";4;"IV";"Pu1(OH)4";"Pu(OH)_{4}";"Hidróxido Plutonioso";"Hidŕoxido de Plutonio (IV)";"TetraHidróxido de MonoPlutonio";"PuO_{2} + 2H_{2}O \rightarrow Pu(OH)_{4}";"94 - Pu - Plutonio"
174;142;94;"Plutonio";"Pu";5;"V";"Pu1(OH)5";"Pu(OH)_{5}";"Hidróxido Plutónico";"Hidŕoxido de Plutonio (V)";"PentaHidróxido de MonoPlutonio";"Pu_{2}O_{5} + 5H_{2}O \rightarrow 2Pu(OH)_{5}";"94 - Pu - Plutonio"
175;143;94;"Plutonio";"Pu";6;"VI";"Pu1(OH)6";"Pu(OH)_{6}";"Hidróxido PerPlutónico";"Hidŕoxido de Plutonio (VI)";"HexaHidróxido de MonoPlutonio";"PuO_{3} + 3H_{2}O \rightarrow Pu(OH)_{6}";"94 - Pu - Plutonio"
176;144;95;"Americio";"Am";3;"III";"Am1(OH)3";"Am(OH)_{3}";"Hidróxido HipoAmericioso";"Hidŕoxido de Americio (III)";"TriHidróxido de MonoAmericio";"Am_{2}O_{3} + 3H_{2}O \rightarrow 2Am(OH)_{3}";"95 - Am - Americio"
177;145;95;"Americio";"Am";4;"IV";"Am1(OH)4";"Am(OH)_{4}";"Hidróxido Americioso";"Hidŕoxido de Americio (IV)";"TetraHidróxido de MonoAmericio";"AmO_{2} + 2H_{2}O \rightarrow Am(OH)_{4}";"95 - Am - Americio"
178;146;95;"Americio";"Am";5;"V";"Am1(OH)5";"Am(OH)_{5}";"Hidróxido Amerícico";"Hidŕoxido de Americio (V)";"PentaHidróxido de MonoAmericio";"Am_{2}O_{5} + 5H_{2}O \rightarrow 2Am(OH)_{5}";"95 - Am - Americio"
179;147;95;"Americio";"Am";6;"VI";"Am1(OH)6";"Am(OH)_{6}";"Hidróxido PerAmerícico";"Hidŕoxido de Americio (VI)";"HexaHidróxido de MonoAmericio";"AmO_{3} + 3H_{2}O \rightarrow Am(OH)_{6}";"95 - Am - Americio"
180;148;96;"Curio";"Cm";3;"III";"Cm1(OH)3";"Cm(OH)_{3}";"Hidróxido de Curio";"Hidŕoxido de Curio (III)";"TriHidróxido de MonoCurio";"Cm_{2}O_{3} + 3H_{2}O \rightarrow 2Cm(OH)_{3}";"96 - Cm - Curio"
181;149;97;"Berkelio";"Bk";3;"III";"Bk1(OH)3";"Bk(OH)_{3}";"Hidróxido Berkelioso";"Hidŕoxido de Berkelio (III)";"TriHidróxido de MonoBerkelio";"Bk_{2}O_{3} + 3H_{2}O \rightarrow 2Bk(OH)_{3}";"97 - Bk - Berkelio"
182;150;97;"Berkelio";"Bk";4;"IV";"Bk1(OH)4";"Bk(OH)_{4}";"Hidróxido Berkélico";"Hidŕoxido de Berkelio (IV)";"TetraHidróxido de MonoBerkelio";"BkO_{2} + 2H_{2}O \rightarrow Bk(OH)_{4}";"97 - Bk - Berkelio"
183;151;98;"Californio";"Cf";3;"III";"Cf1(OH)3";"Cf(OH)_{3}";"Hidróxido de Californio";"Hidŕoxido de Californio (III)";"TriHidróxido de MonoCalifornio";"Cf_{2}O_{3} + 3H_{2}O \rightarrow 2Cf(OH)_{3}";"98 - Cf - Californio"
184;152;99;"Einstenio";"Es";4;"IV";"Es1(OH)4";"Es(OH)_{4}";"Hidróxido de Einstenio";"Hidŕoxido de Einstenio (IV)";"TetraHidróxido de MonoEinstenio";"EsO_{2} + 2H_{2}O \rightarrow Es(OH)_{4}";"99 - Es - Einstenio"
185;153;100;"Fermio";"Fm";4;"IV";"Fm1(OH)4";"Fm(OH)_{4}";"Hidróxido de Fermio";"Hidŕoxido de Fermio (IV)";"TetraHidróxido de MonoFermio";"FmO_{2} + 2H_{2}O \rightarrow Fm(OH)_{4}";"100 - Fm - Fermio"
186;154;101;"Mendelevio";"Md";3;"III";"Md1(OH)3";"Md(OH)_{3}";"Hidróxido Mendelevioso";"Hidŕoxido de Mendelevio (III)";"TriHidróxido de MonoMendelevio";"Md_{2}O_{3} + 3H_{2}O \rightarrow 2Md(OH)_{3}";"101 - Md - Mendelevio"
